id,reference,estate_type,price,construction_date,latitude,longitude,floor,nb_rooms,nb_bedrooms,nb_bathrooms,nb_toilets,nb_swimming_pool,has_garden,nb_balcony,nb_terrace,is_climatised,energetic_score,surface,land_surface,has_cellar,has_view,is_quiet,is_bright,has_garage,has_elevator,has_chimney,parking_spaces,has_separate_kitchen,needs_renovation,town,street,street_number,postal_code,information,price_eur,construction_year,dpe,recherche_ref,title,date_publication,charges_mensuelles,is_particulier,is_exclusive,is_furnished,contact_name,contact_phone,contact_email,contact_agency,photos
5a04126e-9df9-45a8-85a3-68fb6fe59c56,AN-LSU104T0,Maison,354.7,NULL,43.581706,1.425576,NULL,9,NULL,NULL,NULL,NULL,True,0,0,False,NULL,159.0,NULL,False,False,False,False,False,False,False,0,False,False,Toulouse,avenue des Champs,200,31000,NULL,354712,NULL,NULL,REC-ZS4F1KCW,Maison à rafraîchir à Toulouse,2026-08-04,NULL,True,NULL,True,Claire Martin,0453775236,NULL,NULL,NULL
e5e94a84-c5bd-4f74-869f-a96958a63f15,AN-RMM28R0H,Maison,406.0,NULL,NULL,NULL,0,6,5,NULL,NULL,NULL,True,0,0,False,NULL,221.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,NULL,NULL,31000,"Maison de standing de 221 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",406042,NULL,NULL,REC-ZS4F1KCW,Maison de standing à Toulouse,2024-10-25,198.07,False,True,True,NULL,NULL,NULL,Nid Doré,NULL
d6fa3ef0-9ef7-4d32-be19-4754397e41fd,AN-0PHD53K0,Maison,229.5,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,False,0,0,False,NULL,268.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,quai de la Loire,107,31000,NULL,229547,NULL,NULL,REC-ZS4F1KCW,Maison au calme à Toulouse,2026-02-01,NULL,False,NULL,True,Ahmed Perrin,0953767091,NULL,NULL,https://exemple-images.test/AN-0PHD53K0/1.jpg
51511af2-4d6b-4d58-a93e-c786f17f7bee,AN-T8I5HCVA,Maison,393.2,1888-01-01,NULL,NULL,NULL,9,2,NULL,NULL,NULL,True,0,0,False,NULL,237.0,NULL,False,False,True,True,False,False,False,1,False,False,Toulouse,NULL,NULL,31000,"Maison lumineux de 237 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",393224,1888,A,REC-ZS4F1KCW,Maison en excellent état à Toulouse,2024-10-21,NULL,False,True,False,NULL,0432826558,NULL,Provence Immobilier,https://exemple-images.test/AN-T8I5HCVA/1.jpg;https://exemple-images.test/AN-T8I5HCVA/2.jpg;https://exemple-images.test/AN-T8I5HCVA/3.jpg;https://exemple-images.test/AN-T8I5HCVA/4.jpg;https://exemple-images.test/AN-T8I5HCVA/5.jpg
7dca3183-f94f-4681-885e-9361f535ef2f,AN-H5DWVMSB,Maison,386.2,1905-01-01,NULL,NULL,last floor,7,3,NULL,NULL,NULL,True,0,0,False,NULL,218.0,NULL,False,False,True,True,False,False,False,1,False,True,Toulouse,NULL,NULL,31000,"Maison atypique de 218 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",386174,1905,NULL,REC-ZS4F1KCW,Maison de standing à Toulouse,2025-03-27,NULL,True,NULL,NULL,Luc Lefevre,0181718698,luc.lefevre86@example.com,NULL,NULL
eeab495d-ce2f-4eb8-aca1-3dbc5766bf82,AN-JY1VDUGL,Maison,299.0,1947-01-01,43.601578,1.417176,5,9,0,NULL,NULL,NULL,True,0,0,False,NULL,274.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,NULL,NULL,31000,"Maison spacieux de 274 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",299005,1947,NULL,REC-ZS4F1KCW,Maison de standing à Toulouse,2025-06-06,NULL,False,True,NULL,Sophie Faure,0652332216,NULL,Nid Doré,NULL
db1bc4bf-dc6e-40c1-8d9a-95933fb8db31,AN-XXU1S0JR,Maison,214.0,1875-01-01,NULL,NULL,1,7,5,NULL,NULL,NULL,True,0,0,False,NULL,252.0,NULL,False,False,True,False,False,False,False,0,False,False,Toulouse,rue Jean Jaurès,70,31000,"Maison de standing de 252 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",213966,1875,NULL,REC-ZS4F1KCW,Maison de standing à Toulouse,2026-08-07,NULL,False,True,NULL,Marc Bernard,0529411679,NULL,ImmoPlus,NULL
f38d2d93-55e0-4a89-96bd-fb6edf93335c,AN-L5Z3W33H,Maison,388.1,NULL,NULL,NULL,NULL,9,1,NULL,NULL,NULL,True,0,0,False,NULL,236.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,NULL,NULL,31000,"Maison charmant de 236 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",388089,NULL,G,REC-ZS4F1KCW,Maison au calme à Toulouse,2025-10-13,NULL,True,NULL,True,NULL,0147328548,NULL,NULL,NULL
779d48a7-0f9d-42c2-a9e3-a7d2b626df5f,AN-JNQC9RFY,Maison,272.1,NULL,43.642187,1.420888,NULL,10,2,NULL,NULL,NULL,True,0,0,False,NULL,221.0,NULL,False,True,True,True,False,False,False,0,False,False,Toulouse,chemin des Vignes,85,31000,"Maison en excellent état de 221 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",272132,NULL,NULL,REC-ZS4F1KCW,Maison avec vue dégagée à Toulouse,2025-04-19,NULL,True,NULL,True,NULL,NULL,NULL,Clé en Main Immo,https://exemple-images.test/AN-JNQC9RFY/1.jpg;https://exemple-images.test/AN-JNQC9RFY/2.jpg;https://exemple-images.test/AN-JNQC9RFY/3.jpg;https://exemple-images.test/AN-JNQC9RFY/4.jpg;https://exemple-images.test/AN-JNQC9RFY/5.jpg
c138c8da-ba6e-45a9-a7be-b1a16bfebc24,AN-SOWOB0VD,Maison,264.8,NULL,43.558131,1.46438,NULL,8,NULL,NULL,NULL,NULL,True,0,0,False,NULL,242.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,avenue des Champs,186,31000,"Maison atypique de 242 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",264811,NULL,NULL,REC-ZS4F1KCW,Maison au calme à Toulouse,2026-05-29,NULL,True,NULL,NULL,NULL,0281880666,NULL,NULL,https://exemple-images.test/AN-SOWOB0VD/1.jpg;https://exemple-images.test/AN-SOWOB0VD/2.jpg;https://exemple-images.test/AN-SOWOB0VD/3.jpg;https://exemple-images.test/AN-SOWOB0VD/4.jpg
81fd3da5-e0d8-4f72-9657-4c4d31a3fa03,AN-BDVKMXBN,Maison,313.8,NULL,NULL,NULL,NULL,6,1,NULL,NULL,NULL,False,0,0,False,NULL,174.0,NULL,False,False,True,True,False,False,False,0,False,False,Toulouse,rue du Commerce,97,31000,"Maison en excellent état de 174 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",313833,NULL,E,REC-ZS4F1KCW,Maison rénové à Toulouse,2025-09-04,NULL,False,NULL,NULL,NULL,0150198160,NULL,Toit & Vous,NULL
