id,reference,recherche_ref,type_bien,titre,ville,code_postal,date_publication,prix,surface,nb_pieces,meuble,adresse,latitude,longitude,jardin,contact.nom,contact.telephone,particulier,charges_mensuelles,nb_chambres,etage,description,lumineux,calme,contact.agence,exclusivite,photos,dpe,annee_construction,contact.email,surface_m2,terrasse,balcon,ascenseur,cave
5a04126e-9df9-45a8-85a3-68fb6fe59c56,AN-LSU104T0,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,1785807730,354712,159,9,True,200 avenue des Champs,43.581706,1.425576,True,Claire Martin,0453775236,True,,,,,,,,,,,,,,,,,
e5e94a84-c5bd-4f74-869f-a96958a63f15,AN-RMM28R0H,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,25 octobre 2024,406042 €,221,6,True,,,,True,,,,198.07,5,RDC,"Maison de standing de 221 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Nid Doré,True,,,,,,,,,
d6fa3ef0-9ef7-4d32-be19-4754397e41fd,AN-0PHD53K0,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,02-01-2026,229547,268,6,True,107 quai de la Loire,,,,Ahmed Perrin,0953767091,,,,,,True,True,,,https://exemple-images.test/AN-0PHD53K0/1.jpg,,,,,,,,
51511af2-4d6b-4d58-a93e-c786f17f7bee,AN-T8I5HCVA,REC-ZS4F1KCW,Maison,Maison en excellent état à Toulouse,Toulouse,31000,21 octobre 2024,393224,237,9,False,,,,True,,0432826558,,,2,,"Maison lumineux de 237 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Provence Immobilier,True,https://exemple-images.test/AN-T8I5HCVA/1.jpg; https://exemple-images.test/AN-T8I5HCVA/2.jpg; https://exemple-images.test/AN-T8I5HCVA/3.jpg; https://exemple-images.test/AN-T8I5HCVA/4.jpg; https://exemple-images.test/AN-T8I5HCVA/5.jpg,A,1888,,,,,,
7dca3183-f94f-4681-885e-9361f535ef2f,AN-H5DWVMSB,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,27/03/2025,386174,218,7,,,,,True,Luc Lefevre,0181718698,True,,3,dernier étage,"Maison atypique de 218 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",True,True,,,,,1905,luc.lefevre86@example.com,,,,,
eeab495d-ce2f-4eb8-aca1-3dbc5766bf82,AN-JY1VDUGL,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,2025-06-06T12:43:10,299005,274,9,,,43.601578,1.417176,True,Sophie Faure,0652332216,,,0,5,"Maison spacieux de 274 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Nid Doré,True,,,1947,,,,,,
db1bc4bf-dc6e-40c1-8d9a-95933fb8db31,AN-XXU1S0JR,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,2026-08-07T13:16:10,213966,252,7,,70 rue Jean Jaurès,,,True,Marc Bernard,0529411679,,,5,1,"Maison de standing de 252 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",,True,ImmoPlus,True,,,1875,,,,,,
f38d2d93-55e0-4a89-96bd-fb6edf93335c,AN-L5Z3W33H,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,1760374270,388089,236,9,True,,,,True,,0147328548,True,,1,,"Maison charmant de 236 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,G,,,,,,,
779d48a7-0f9d-42c2-a9e3-a7d2b626df5f,AN-JNQC9RFY,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,1745065030,272132,221,10,True,85 chemin des Vignes,43.642187,1.420888,True,,,True,,2,,"Maison en excellent état de 221 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Clé en Main Immo,,https://exemple-images.test/AN-JNQC9RFY/1.jpg; https://exemple-images.test/AN-JNQC9RFY/2.jpg; https://exemple-images.test/AN-JNQC9RFY/3.jpg; https://exemple-images.test/AN-JNQC9RFY/4.jpg; https://exemple-images.test/AN-JNQC9RFY/5.jpg,,,,,,,,
c138c8da-ba6e-45a9-a7be-b1a16bfebc24,AN-SOWOB0VD,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,2026-05-29,264811 €,,8,,186 avenue des Champs,43.558131,1.46438,True,,0281880666,True,,,,"Maison atypique de 242 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,https://exemple-images.test/AN-SOWOB0VD/1.jpg; https://exemple-images.test/AN-SOWOB0VD/2.jpg; https://exemple-images.test/AN-SOWOB0VD/3.jpg; https://exemple-images.test/AN-SOWOB0VD/4.jpg,,,,242,,,,
81fd3da5-e0d8-4f72-9657-4c4d31a3fa03,AN-BDVKMXBN,REC-ZS4F1KCW,Maison,Maison rénové à Toulouse,Toulouse,31000,2025-09-04T19:24:10,313833 €,174,6,,97 rue du Commerce,,,,,0150198160,,,1,,"Maison en excellent état de 174 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Toit & Vous,,,E,,,,,,,
2f8e69b4-9edb-4c4e-9824-8e5cb06aadb2,AN-AUMARYBD,REC-ZS4F1KCW,Maison,Maison lumineux à Toulouse,Toulouse,31000,10-26-2024,275353,189,7,,14 rue Pasteur,,,True,Luc Moreau,0992110201,,,,,,True,True,ImmoPlus,True,https://exemple-images.test/AN-AUMARYBD/1.jpg; https://exemple-images.test/AN-AUMARYBD/2.jpg; https://exemple-images.test/AN-AUMARYBD/3.jpg; https://exemple-images.test/AN-AUMARYBD/4.jpg; https://exemple-images.test/AN-AUMARYBD/5.jpg,G,,,,,,,
d13bb51d-2b9e-4e82-a307-9d1bfaabafa9,AN-QEZ9CQQT,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,04-24-2025,371662,188,8,,15 rue Jean Jaurès,43.625027,1.404019,True,,0405826491,,,,,"Maison rénové de 188 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",,True,,,,,,,,,,,
518811f1-c2da-4297-a469-9d3748f7b1e4,AN-1KT1313D,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,2025-01-11T14:34:10,399512,167,9,,185 rue Pasteur,43.610283,1.427306,,Marc Martin,0053383305,,150.81,,,"Maison à rafraîchir de 167 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,False,https://exemple-images.test/AN-1KT1313D/1.jpg; https://exemple-images.test/AN-1KT1313D/2.jpg; https://exemple-images.test/AN-1KT1313D/3.jpg; https://exemple-images.test/AN-1KT1313D/4.jpg; https://exemple-images.test/AN-1KT1313D/5.jpg,,,marc.martin70@example.com,,,,,
